#Imput file for the Assessment of Power Energy Generation by using Volumetric Method and Mote Carlo Probabilistic analysis,,,,,,,,,,,,
#Item,Name_Place,Latitude,Longitude,Reservoir_Properties,Symbol,Units,Min,Most_Likely,Max,Mean,Standard_Deviation,Distribution_Type
0,Lapangan Mataloko,"1,214,839",-85.03,ReservoirArea,A,km2,12,15,18,0,0,T
1,,,,Thickness,h,m,1000,1000,1500,0,0,T
2,,,,Volume,v,km3,4,6,8.2,0,0,none
3,,,,ReservoirTemperature,Tf,oC,230,240,250,0,0,T
4,,,,AbandonTemperature,Ta,oC,100,150,180,0,0,C
5,,,,Porosity,Phi,%,0.05,0.1,0.2,0.06,0.02,L
6,,,,RockSpecificHeat,Cr,kJ/kg-oC,0.85,0.85,0.95,0,0,T
7,,,,WaterSpecificHeat,Cf,kJ/kg-oC,4,4.18,4.5,0,0,C
8,,,,RockDensity,rho_r,kg/m3,2400,2450,2600,0,0,C
9,,,,WaterDensity,rho_f,kg/m3,800,1000,1200,0,0,C
10,,,,WaterSaturation,Sl,%,0.7,0.8,0.8,0,0,T
11,,,,RecoveryFactor,Rf,%,0.2,0.25,0.26,0,0,U
12,,,,ConversionEfficiency,Ce,%,109,112,144,0,0,T
13,,,,PowerFactor,Pf,%,0.8,0.85,1,0,0,T
14,,,,LifeSpan,t,years,0,30,0,0,0,C
